220938 - Processing radiation damage...
221138 - Processing radiation damage...
221338 - Processing radiation damage...
221538 - Processing radiation damage...
221738 - Processing health regeneration...
221738 - Processing radiation damage...
221938 - Processing radiation damage...
222138 - Processing radiation damage...
235430 - It's a new hour!
235430 - Performing wealth generation...
235430 - Biscuit gets nothing.
235430 - Processing radiation damage...
235430 - Processing radiation damage...
235430 - Processing radiation damage...
235430 - Processing radiation damage...
235430 - Processing radiation damage...
235431 - Processing health regeneration...
235431 - Processing radiation damage...
235431 - Processing radiation damage...
235431 - Processing radiation damage...
235431 - Processing radiation damage...
235431 - Processing radiation damage...
235431 - Processing radiation damage...
235431 - Processing radiation damage...
235431 - Saving game.
235432 - Processing health regeneration...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing health regeneration...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing health regeneration...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing health regeneration...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing health regeneration...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
235432 - Processing radiation damage...
